,0
week,10.0
yardline_100,0.5445254172637926
quarter_seconds_remaining,0.45555555555555555
half_seconds_remaining,0.45222222222222225
game_seconds_remaining,0.5029409575829275
quarter_end,0.0
score_differential,0.47490129073576
drive,11.0
sp,0.0
down,1.0
yards_gained,11.0
pass_oe,5.495285987854004
play_success,0.5
qb_epa,0.6178669304902142
xyac_epa,0.39044550120445637
xyac_mean_yardage,0.20460545385918033
xyac_median_yardage,0.1
time_pressure_end_game,0.0
time_pressure_mid_game,0.0
play_type_field_goal,0.0
play_type_kickoff,0.0
play_type_no_play,0.0
play_type_pass,0.7680763450650846
play_type_punt,0.0
play_type_qb_kneel,0.0
play_type_qb_spike,0.0
play_type_run,0.0
play_type_nfl_end_game,0.0
play_type_nfl_end_quarter,0.0
play_type_nfl_field_goal,0.0
play_type_nfl_fumble_recovered_by_opponent,0.0
play_type_nfl_game_start,0.0
play_type_nfl_interception,0.0
play_type_nfl_kick_off,0.0
play_type_nfl_pass,0.657382393254641
play_type_nfl_pat2,0.0
play_type_nfl_penalty,0.0
play_type_nfl_punt,0.0
play_type_nfl_rush,0.0
play_type_nfl_sack,0.0
play_type_nfl_timeout,0.0
play_type_nfl_unspecified,0.0
play_type_nfl_xp_kick,0.0
side_of_field_ari,0.0
side_of_field_atl,0.0
side_of_field_bal,0.0
side_of_field_buf,0.0
side_of_field_car,0.0
side_of_field_chi,0.0
side_of_field_cin,0.0
side_of_field_cle,0.0
side_of_field_dal,0.0
side_of_field_den,0.0
side_of_field_det,0.0
side_of_field_gb,0.0
side_of_field_hou,0.0
side_of_field_ind,0.0
side_of_field_jax,0.0
side_of_field_kc,0.0
side_of_field_la,0.0
side_of_field_lac,0.0
side_of_field_lv,0.0
side_of_field_mia,0.0
side_of_field_min,0.0
side_of_field_ne,0.0
side_of_field_no,0.0
side_of_field_nyg,0.0
side_of_field_nyj,0.0
side_of_field_other,0.0
side_of_field_phi,0.0
side_of_field_pit,0.0
side_of_field_sea,0.0
side_of_field_sf,0.0
side_of_field_tb,0.0
side_of_field_ten,0.0
side_of_field_was,0.0
first_down_success,0.0
touchdown,0.0
